Stages,Average,5thPercentile,95thPercentile
Start_Point,0,0,0
Queue_for_CSI_visit,1402.661935,0,3431.6115
CSI_visit,1604.606158,68.28,4467.3379
Queue_for_data_input_at_station,1604.606158,68.28,4467.3379
Data_input_at_station,1604.606158,68.28,4467.3379
Queue_for_Courier,1731.696135,70.9232,5474.3677
Courier,2013.989716,134.1314,6541.9392
Queue_for_transport_to_lab,2296.283297,197.3396,7609.5107
Transport_to_lab,2578.576878,260.5478,8677.0822
Queue_for_Sample_prep,3454.210006,162.3256,11004.2859
Sample_prep,3546.965022,173.3669,11034.2273
Queue_for_DNA_sequencer,3892.141575,173.3669,12255.78633
DNA_Sequencer,4012.141575,293.3669,12375.78633
Queue_for_validation,4782.562547,293.3669,16326.53504
Validation,4864.412437,308.6186,16346.47679
Queue_for_ID_database,4864.412437,308.6186,16346.47679
