Scenario,QueueTime
Current,922.25011
Current,967.2988
Current,949.61751
Current,992.74659
Current,1022.09919
Current,1041.77183
Current,1059.19778
Current,1109.28979
Current,1082.01968
Current,1122.74967
Current,1164.78314
Current,1134.93429
Current,1193.96157
Current,1213.85836
Current,1237.84064
Current,1260.42683
Current,2322.50863
Current,2300.45531
Current,874.46405
Current,893.01773
Current,914.86535
Current,932.07532
Current,953.67063
Current,965.61259
Current,989.14605
Current,1003.7224
Current,1032.9099
Current,1046.98512
Current,1063.90212
Current,1088.25946
Current,1107.05507
Current,1124.62039
Current,1135.90333
Current,1155.00769
Current,1173.82419
Current,1201.41881
Current,1224.95328
Current,2284.63302
Current,1238.24269
Current,901.32308
Current,927.51317
Current,939.5523
Current,954.37363
Current,975.32704
Current,995.727
Current,1020.69367
Current,1047.18033
Current,1069.7822
Current,1095.9515
Current,1121.99006
Current,1137.9112
Current,1162.80694
Current,1189.78325
Current,1215.19758
Current,1227.96287
Current,1253.21424
Current,1264.18637
Current,2308.38267
Current,2327.6467
Current,884.24634
Current,900.19661
Current,928.22357
Current,950.22739
Current,979.85288
Current,990.12608
Current,1010.59763
Current,1033.1731
Current,1075.34003
Current,1048.39667
Current,1097.46327
Current,1114.31351
Current,1143.55101
Current,1156.55722
Current,1182.92582
Current,1200.48261
Current,1219.77259
Current,1241.24547
Current,5168.99604
Current,5188.84236
Current,3792.11717
Current,3810.06697
Current,3833.93363
Current,3868.00327
Current,3848.4672
Current,3887.1661
Current,3903.90592
Current,3922.60697
Current,3950.79753
Current,3976.36106
Current,4000.96049
Current,4019.31458
Current,4032.91633
Current,4048.12114
Current,4090.94525
Current,4068.13112
Current,4120.81719
Current,4131.89097
Current,5182.71364
Current,4147.17584
Current,5201.44624
Current,921.10185
Current,899.97897
Current,932.15119
Current,963.91719
Current,945.10741
Current,993.32202
Current,1005.99573
Current,1029.76784
Current,1044.23292
Current,1060.32077
Current,1071.0788
Current,1081.80236
Current,1099.59175
Current,1124.72655
Current,1150.79538
Current,1168.19928
Current,1188.75244
Current,1208.16885
Current,1236.22137
Current,1257.73039
Current,1276.2856
Current,868.52387
Current,891.17054
Current,903.81433
Current,918.21907
Current,934.64606
Current,963.97563
Current,980.29543
Current,991.55581
Current,1020.47856
Current,1032.57415
Current,1060.15628
Current,1074.86992
Current,1096.66948
Current,1110.71326
Current,1158.42027
Current,1133.41568
Current,1184.08714
Current,1194.35444
Current,1216.73033
Current,1243.48725
Current,840.69978
Current,859.43085
Current,884.2907
Current,912.71072
Current,933.71337
Current,947.53865
Current,960.02954
Current,988.63534
Current,1006.87195
Current,1019.15403
Current,1039.1728
Current,1050.68004
Current,1074.94893
Current,1101.09213
Current,1119.28609
Current,1137.87279
Current,1157.83388
Current,1180.29954
Current,1191.34627
Current,1220.06743
Current,1248.39354
Current,847.1894
Current,857.48454
Current,881.47658
Current,893.70358
Current,907.40578
Current,922.72512
Current,946.0321
Current,957.26835
Current,975.51363
Current,987.65353
Current,998.69479
Current,1012.28726
Current,1028.37447
Current,1058.21192
Current,1071.09805
Current,1095.29041
Current,1124.20415
Current,1142.05542
Current,1158.14718
Current,1172.70254
Current,3711.8694
Current,3724.46372
Current,3740.7559
Current,3766.45419
Current,3787.11187
Current,3813.93394
Current,3851.89163
Current,3832.03372
Current,3867.84206
Current,3909.69173
Current,3888.03491
Current,3931.69008
Current,3944.31843
Current,3958.7755
Current,3971.10691
Current,3988.14836
Current,4008.85413
Current,4030.56689
Current,4060.06965
Current,4046.31263
Current,4082.3975
Current,841.19642
Current,866.51991
Current,877.77093
Current,905.73167
Current,934.55942
Current,949.10405
Current,978.09268
Current,988.35024
Current,1013.95197
Current,1025.04648
Current,1051.33664
Current,1076.62428
Current,1098.79696
Current,1113.89204
Current,1136.1291
Current,1151.94564
Current,1176.10609
Current,1204.71171
Current,1216.63725
Current,1232.96166
Current,1246.92247
Current,858.2697
Current,878.27511
Current,902.72512
Current,929.44098
Current,949.91252
Current,967.35413
Current,995.90227
Current,1022.75321
Current,1037.41538
Current,1049.8511
Current,1075.89886
Current,1094.51423
Current,1107.4357
Current,1118.88107
Current,1131.1795
Current,1160.24413
Current,1177.3091
Current,1188.5477
Current,1213.14029
Current,1240.06175
Current,849.17986
Current,877.10086
Current,888.15179
Current,913.90515
Current,934.31865
Current,948.19161
Current,967.25039
Current,992.15431
Current,1003.23265
Current,1021.76723
Current,1044.70786
Current,1071.32358
Current,1099.64155
Current,1113.61726
Current,1129.17774
Current,1141.95971
Current,1166.42436
Current,1177.61309
Current,1220.91317
Current,1191.14854
Current,1243.62327
Current,858.30482
Current,869.055
Current,883.77149
Current,921.06444
Current,906.23706
Current,940.92401
Current,962.7685
Current,987.19757
Current,1015.54951
Current,1042.01666
Current,1054.06885
Current,1066.61576
Current,1077.10611
Current,1102.77303
Current,1117.17141
Current,1132.22891
Current,1144.38521
Current,1160.02105
Current,1172.83086
Current,1184.63542
Current,3732.26359
Current,3760.2282
Current,3776.71345
Current,3813.82094
Current,3796.72079
Current,3833.23528
Current,3850.66363
Current,3866.33911
Current,3878.94567
Current,3893.73202
Current,3930.13494
Current,3917.27912
Current,3943.04054
Current,3958.6334
Current,3979.39051
Current,4007.28919
Current,4035.90059
Current,4050.1165
Current,4072.64271
Current,4093.57409
Current,841.86457
Current,860.10666
Current,870.40474
Current,882.13079
Current,903.73398
Current,918.39451
Current,931.62675
Current,943.7764
Current,963.97626
Current,992.58795
Current,1035.6693
Current,1013.2859
Current,1053.34113
Current,1069.71551
Current,1095.67502
Current,1118.77434
Current,1160.18519
Current,1142.9065
Current,1184.67562
Current,1205.45693
Current,1218.03821
Current,832.09105
Current,847.44517
Current,875.82331
Current,886.74566
Current,904.29166
Current,923.38
Current,951.85615
Current,978.43044
Current,990.18218
Current,1000.71336
Current,1011.89218
Current,1036.51212
Current,1056.62872
Current,1046.60287
Current,1080.5097
Current,1105.9367
Current,1132.30586
Current,1153.74782
Current,1181.55176
Current,1168.87281
Current,852.76161
Current,863.21227
Current,882.93873
Current,910.69249
Current,958.14411
Current,936.65297
Current,975.5012
Current,986.88885
Current,1005.12198
Current,1043.76001
Current,1021.98816
Current,1062.32167
Current,1078.93775
Current,1105.34168
Current,1128.21007
Current,1157.1506
Current,1145.75828
Current,1178.27433
Current,1207.04019
Current,1236.09558
Current,1257.75944
Current,872.79717
Current,892.88801
Current,919.29443
Current,939.2934
Current,957.95809
Current,971.61579
Current,994.30755
Current,1006.25025
Current,1018.52731
Current,1036.25839
Current,1052.08974
Current,1077.16786
Current,1090.18062
Current,1116.23852
Current,1143.72303
Current,1171.04895
Current,1184.64425
Current,1207.50058
Current,1224.24563
Current,1243.41535
Current,3714.39109
Current,3730.34045
Current,3744.89938
Current,3774.39408
Current,3786.37138
Current,3806.60173
Current,3836.40396
Current,3866.13099
Current,3893.47034
Current,3912.11852
Current,3935.0751
Current,3961.03662
Current,3987.5455
Current,4000.44486
Current,4028.76481
Current,4042.5299
Current,4086.2509
Current,4065.23621
Current,4096.94087
Current,5155.33396
Current,4122.28443
Current,877.62258
Current,928.83908
Current,905.07994
Current,957.23064
Current,986.14496
Current,998.19218
Current,1022.07841
Current,1058.91325
Current,1038.92801
Current,1078.5585
Current,1103.35158
Current,1127.81454
Current,1143.74313
Current,1164.88993
Current,1188.12647
Current,1209.54397
Current,1224.22432
Current,1240.49024
Current,1263.44808
Current,2310.72188
Current,2324.03787
Current,898.87078
Current,918.33727
Current,931.97418
Current,947.12299
Current,962.7057
Current,987.70564
Current,1015.41054
Current,1036.63351
Current,1059.91008
Current,1083.25672
Current,1108.39062
Current,1136.7789
Current,1153.69866
Current,1182.91847
Current,1208.57538
Current,1229.72022
Current,1252.90769
Current,1264.77714
Current,885.86205
Current,915.30653
Current,936.39824
Current,964.01851
Current,984.81091
Current,1014.44769
Current,1029.90921
Current,1040.93193
Current,1059.06222
Current,1069.80941
Current,1086.89276
Current,1106.19774
Current,1125.72588
Current,1139.00051
Current,1164.43962
Current,1194.2527
Current,1233.34756
Current,1220.65142
Current,1248.3269
Current,1263.45378
Current,2301.73095
Current,2326.59695
Current,888.60202
Current,914.14138
Current,938.10855
Current,953.60555
Current,978.7494
Current,992.336
Current,1015.27712
Current,1036.18821
Current,1065.40159
Current,1085.71769
Current,1101.14939
Current,1113.39663
Current,1137.04695
Current,1165.02785
Current,1189.68015
Current,1209.99382
Current,1221.19563
Current,1250.04256
Current,5169.62648
Current,5192.89865
Current,3763.43467
Current,3788.23582
Current,3800.00175
Current,3824.34376
Current,3844.98043
Current,3862.42846
Current,3886.95668
Current,3898.66745
Current,3913.52448
Current,3926.90621
Current,3945.00852
Current,3962.84833
Current,3983.29579
Current,4016.66624
Current,3997.61738
Current,4037.01795
Current,4088.43384
Current,4061.63538
Current,4115.87286
Current,4127.56005
Current,5172.5556
Current,888.39869
Current,908.62596
Current,938.34518
Current,949.79468
Current,963.81174
Current,978.06485
Current,1004.57637
Current,1023.20527
Current,1038.72057
Current,1056.02974
Current,1093.60694
Current,1073.43885
Current,1116.89852
Current,1137.61179
Current,1155.26026
Current,1175.74699
Current,1203.19942
Current,1191.37764
Current,1221.87406
Current,852.24599
Current,1246.99949
Current,882.16801
Current,903.5209
Current,933.98085
Current,919.07509
Current,947.92183
Current,976.18429
Current,995.57508
Current,1012.18195
Current,1027.58989
Current,1049.84963
Current,1061.81671
Current,1080.64099
Current,1095.74954
Current,1119.24812
Current,1129.4283
Current,1151.11163
Current,1177.97941
Current,1200.07448
Current,1224.64099
Current,1237.28748
Current,831.89232
Current,860.51664
Current,881.05262
Current,897.48659
Current,909.64531
Current,939.28221
Current,963.98584
Current,974.41856
Current,990.55685
Current,1010.93902
Current,1028.19575
Current,1038.4768
Current,1054.01731
Current,1065.94354
Current,1082.23779
Current,1097.55455
Current,1123.82259
Current,1138.67441
Current,1192.32693
Current,1163.75113
Current,1204.49461
Current,869.84849
Current,851.72491
Current,880.87786
Current,911.37955
Current,895.84351
Current,938.4753
Current,953.22211
Current,972.05386
Current,988.29543
Current,1000.69633
Current,1025.36798
Current,1043.37802
Current,1066.07463
Current,1077.5334
Current,1101.23195
Current,1122.18529
Current,1144.24796
Current,1163.81222
Current,1184.5507
Current,1213.94984
Current,3747.27222
Current,3722.98662
Current,3773.73192
Current,3789.55632
Current,3810.94972
Current,3830.28482
Current,3856.67682
Current,3884.39382
Current,3910.44872
Current,3939.29922
Current,3965.38092
Current,3977.48152
Current,4001.98482
Current,4020.00792
Current,4047.99292
Current,4066.74412
Current,4094.83892
Current,4105.85102
Current,4130.63812
Current,5176.18112
Current,5189.62192
Current,891.4764
Current,910.3108
Current,924.6705
Current,940.3878
Current,951.2808
Current,973.6488
Current,984.6595
Current,1006.6532
Current,1024.5611
Current,1042.8058
Current,1070.3941
Current,1087.1626
Current,1107.9717
Current,1133.8063
Current,1144.5094
Current,1161.4096
Current,1179.3164
Current,1201.0978
Current,1225.1353
Current,1243.2544
Current,856.2539
Current,866.5674
Current,885.2189
Current,905.5288
Current,918.3153
Current,941.1095
Current,970.5899
Current,994.3403
Current,1006.6481
Current,1017.8443
Current,1039.3062
Current,1052.8011
Current,1062.9185
Current,1088.1095
Current,1101.8385
Current,1115.9286
Current,1144.2864
Current,1171.824
Current,1187.1309
Current,1208.9411
Current,1228.0777
Current,836.7435
Current,847.4954
Current,874.0941
Current,897.0812
Current,913.7854
Current,953.8587
Current,932.9534
Current,975.6605
Current,993.6077
Current,1008.6492
