TotalTime,QCSI,CSI,QDataInput,DataInput,Qlab,Lab,QSamPrep,SamPrep,Qextraction,Extraction,Qvalidation,Validation,QID,ID
6304.8602,479.6319687,61.7269385,358.2730615,60,0,115.906067,856.215211,13.417593,1474.461129,2880,1.530202,1.728692,0,1.969337
6225.018409,397.7909305,64.9133552,355.0866448,60,0,115.906067,869.632804,27.943453,1446.517676,2880,3.258894,1.311782,0.657555,1.999247
6111.396144,288.7430735,58.8286706,361.1713294,60,0,115.906067,844.093933,12.121278,1487.878722,2880,0,1.530202,0,1.122868
6072.419519,302.4834629,56.8999176,304.2714118,60,0,115.906067,897.576257,15.799066,1430.71861,2880,4.570676,1.190436,1.466366,1.537249
6061.478545,293.0180559,64.3896103,293.8834512,60,0,115.906067,913.375323,11.233104,1419.485506,2880,5.761112,1.699785,1.30383,1.422701
5853.18545,86.5683324,62.4081623,292.6784825,60,0,115.906067,924.608427,14.305226,1405.18028,2880,7.460897,1.577189,1.149342,1.343045
5613.09475,0,63.041947,137.2828132,60,0,115.906067,938.913653,29.785847,1375.394433,2880,9.038086,1.61868,0.873707,1.239517
5582.945142,0,59.4158496,109.1669375,60,0,115.906067,968.6995,25.840791,1349.553642,2880,10.656766,1.354632,0.758592,1.592365
5580.767878,0,57.2005341,107.2622832,60,0,115.906067,994.540291,14.633465,1334.920177,2880,12.011398,1.207391,1.143566,1.942706
5534.478459,0,57.725489,59.4048203,60,0,115.906067,1009.173756,22.480567,1312.43961,2880,13.218789,1.238733,1.847539,1.043089
5406.493469,1004.173505,73.797664,346.202336,60,0,121.860768,870.757999,17.759331,9.621902,2880,18.305083,1.04231,1.569455,1.403116
5298.478118,897.56127,67.535496,352.464504,60,0,121.860768,850.743676,20.014323,27.381233,2880,16.453667,1.851416,0.672554,1.939211
5241.555301,842.577664,53.252285,366.747715,60,0,121.860768,838.139232,12.604444,47.395556,2880,14.457522,1.996145,0.894483,1.629487
9485.133875,835.01716,64.164028,302.583687,60,0,121.860768,888.51733,18.678265,3230.943637,2880,1080,1.68688,0,1.68212
9466.352969,829.479725,57.026215,295.438289,60,0,121.860768,907.195595,12.821511,3218.122126,2880,1081.68688,1.19748,0.48464,1.03974
9438.898665,806.469639,63.13743,283.064906,60,0,121.860768,920.017106,19.176115,3198.946011,2880,1082.88436,1.62474,0,1.71759
9223.699263,633.701606,62.18089,240.402797,60,0,121.860768,939.193221,13.618546,3185.327465,2880,1084.5091,1.56179,0.1558,1.18728
9217.166318,632.663499,63.464141,231.974148,60,0,121.860768,952.811767,26.565481,3158.761984,2880,1086.07089,1.64513,0,1.34851
9120.43053,546.780644,58.312188,224.752718,60,0,121.860768,979.377248,16.912491,3141.849493,2880,1087.71602,1.27637,0.07214,1.52045
8650.807524,116.361837,68.141934,172.260863,60,0,121.860768,1007.691365,16.079631,3114.368236,2880,1090.86697,1.1726,0.79646,1.20686
8602.493463,77.683285,56.568978,175.40517,60,0,121.860768,996.289739,11.401626,3130.447867,2880,1088.99239,1.87458,0,1.96906
8407.316088,0,69.960758,41.44262,60,0,121.860768,1023.770996,17.940856,3096.42738,2880,1092.03957,1.93229,0.07103,1.86982
8263.208612,985.990252,50.604852,369.395148,60,0,109.353451,850.646549,11.150879,1848.849121,2880,1093.97186,1.00146,0.93939,1.30565
8162.703708,883.004128,62.254784,357.745216,60,0,109.353451,881.257123,10.993598,1818.395828,2880,1096.54014,1.06833,0.70599,1.38512
8079.406642,801.092182,54.132831,365.867169,60,0,109.353451,861.797428,19.459695,1829.389426,2880,1094.97332,1.56682,0.67822,1.0961
8042.477672,812.216074,54.64212,314.753028,60,0,109.353451,892.250721,17.093654,1801.302174,2880,1097.60847,1.08619,1.00492,1.16687
7987.197307,759.191918,63.747875,302.119294,60,0,109.353451,909.344375,27.153871,1774.148303,2880,1098.69466,1.66238,0.50941,1.27177
7841.129222,619.533886,68.916208,288.829008,60,0,109.353451,936.498246,27.290804,1746.857499,2880,1100.35704,1.9013,0,1.59178
7759.242636,578.981868,65.445251,249.307777,60,0,109.353451,963.78905,22.335321,1724.522178,2880,1102.25834,1.75655,0,1.49285
7446.746867,277.304313,70.166009,231.953285,60,0,109.353451,986.124371,20.260533,1704.261645,2880,1104.01489,1.93768,0,1.37069
7384.489101,226.871303,63.169733,225.659275,60,0,109.353451,1006.384904,22.916308,1681.345337,2880,1105.95257,1.62679,0,1.20943
7078.461133,0,61.788674,145.721709,60,0,109.353451,1029.301212,23.926756,1657.418581,2880,1107.57936,1.53456,0,1.83683
7059.38109,0,59.495674,127.613526,60,0,109.353451,1053.227968,25.551916,1631.866665,2880,1109.11392,1.36067,0.47616,1.32114
6996.744863,0,53.758525,69.090498,60,0,109.353451,1078.779884,11.117506,1620.749159,2880,1110.47459,1.05651,0.74079,1.62395
6894.484037,0,1078.029325,381.040562,60,0,105.713064,854.286937,24.020381,395.979618,2880,1111.5311,1.25788,1.10686,1.51831
6889.446617,0,1082.821859,370.199658,60,0,105.713064,878.307318,28.289268,367.69035,2880,1112.78898,1.60451,1.02066,1.01095
6852.681597,994.831057,69.887455,350.112545,60,0,105.713064,906.596586,25.305662,342.384688,2880,1114.39349,1.9303,0.10131,1.42544
6796.455357,975.825375,57.76659,323.273972,60,0,105.713064,931.902248,18.244527,324.140161,2880,1116.32379,1.24128,0.28547,1.73888
6770.639607,959.666479,53.586933,316.612725,60,0,105.713064,950.146775,14.708641,309.43152,2880,1117.56507,1.05147,0.97288,1.18405
