Stages,Average,5thPercentile,95thPercentile
Start_Point,0,0,0
Queue_for_CSI_visit,3441.301052,511.264284,6602.8657
CSI_visit,3711.244562,564.938684,7688.49546
Queue_for_data_input_at_station,3921.705424,587.252044,8084.73186
Data_input_at_station,3981.705424,647.252044,8144.73186
Queue_for_Courier,3981.705424,647.252044,8144.73186
Courier,3981.705424,647.252044,8144.73186
Queue_for_transport_to_lab,3981.705424,647.252044,8144.73186
Transport_to_lab,4096.740914,748.772644,8273.41206
Queue_for_Sample_prep,5733.011032,1617.689724,12303.92205
Sample_prep,5788.396933,1628.730984,12333.44825
Queue_for_DNA_sequencer,6154.346221,1628.730984,13583.81966
DNA_Sequencer,6274.346221,1748.730984,13703.81966
Queue_for_validation,7011.932035,1748.730984,17667.39323
Validation,7100.677816,1763.987334,17687.36226
Queue_for_ID_database,7100.677816,1763.987334,17687.36226
