URN,QCSI,QDataInput,QSamPrep,Qextraction,Qvalidation
151,711.91106,368.35573,3759.76004,2900.2129,1.93439
152,1507.92993,344.86425,3791.33354,2852.70008,4.90845
153,1310.52464,307.64387,3820.13794,2822.82293,6.39837
154,1263.69251,305.79089,3850.01509,2798.63634,7.85397
155,853.37212,290.08054,3874.20168,2773.26697,9.0794
156,842.69956,248.89926,3928.56867,2715.87861,11.4768
157,542.21115,252.55203,3899.57105,2744.26935,10.17093
158,511.51822,228.48022,3956.95941,2695.85916,12.51876
159,323.32886,190.60862,3995.47382,2664.74893,15.58536
160,281.35967,191.37045,3976.97886,2677.3642,14.03996
161,257.13959,162.44428,4008.08909,2647.40298,16.81209
162,271.23419,132.06289,4025.43504,2623.68311,18.59782
163,0,17.78569,4049.15491,2609.11489,19.94434
164,0,412.96882,830.11565,1484.41651,21.19488
165,3719.50011,354.05105,864.62616,1451.51183,24.85082
166,3693.80885,352.49366,878.60382,1430.63081,26.70107
167,3681.32818,358.52907,845.69914,1465.48949,23.06928
168,3690.01028,284.61514,930.62955,1376.17007,31.23817
169,3679.03098,293.26286,899.48484,1412.05536,27.77992
170,3667.0111,292.4566,918.06029,1399.4861,29.77677
171,3707.52814,229.1026,953.94558,1364.38724,32.64113
172,3547.30221,229.02545,965.72841,1337.38192,34.3278
173,3440.60502,220.95609,992.73373,1308.7034,35.9709
174,3256.77791,161.68599,1056.01892,1251.88315,40.9253
175,3160.22121,168.37724,1021.41225,1293.26442,37.62792
176,3140.99796,162.58112,1036.85123,1274.09673,39.47457
177,3156.02582,108.70454,1078.2325,1233.57547,42.20586
178,3074.46362,103.86343,1118.90409,1189.32443,44.8841
179,3049.91551,104.57932,1096.54018,1211.21156,43.58011
180,2991.75373,39.77559,1168.0724,1146.06552,47.98783
181,2892.75215,43.08413,1140.79122,1162.04325,46.08612
182,2745.04534,39.12704,1184.05013,1118.78875,49.50149
183,2767.96584,400.07224,858.23385,20.31349,52.83733
184,2769.38406,399.56372,874.14402,2.48268,54.25416
185,2520.01871,406.7877,834.45751,36.22366,51.22057
186,3579.49945,344.75711,891.97483,3218.43516,1080
187,3532.46362,340.40094,916.02235,3203.45425,1081.55145
188,3377.94498,331.2786,931.00326,3185.64598,1082.92559
189,3393.52065,287.54614,948.81153,3163.34311,1084.80535
190,3385.48226,281.80943,971.1144,3134,1086.01334
191,2827.05813,270.77138,1000.45751,3117.72781,1087.3086
192,2771.78984,228.27818,1016.7297,3098.7131,1088.74849
193,2577.47761,224.57826,1035.74441,3073.20986,1090.09207
194,2441.538,205.53817,1061.24765,3044.93413,1091.30123
195,2439.64605,173.65998,1089.52338,3033.89598,1093.04686
196,2357.57385,164.66617,1100.56153,3013.29084,1094.13217
197,2280.46409,138.27688,1121.16667,2984.80196,1095.52516
198,2284.98606,116.87975,1149.65555,2965.27839,1097.36546
199,2249.70965,103.34637,1169.17912,2950.6407,1098.54935
200,2209.71789,74.72675,1183.81681,2926.42786,1100.05029
201,1859.74683,58.0517,1208.02965,2907.80739,1101.70069
202,1834.2777,34.35849,1226.65012,2896.94544,1103.01243
203,1808.00791,19.37933,1237.51207,2881.13984,1104.91604
204,1565.15208,411.65968,858.73072,1842.19614,1106.03042
205,1569.06969,392.35645,876.53458,1830.00785,1107.83283
206,1524.39394,374.07347,888.72287,1808.96601,1109.3823
207,2565.50836,339.92359,909.76471,1779.17006,1111.1317
208,2504.88861,321.94758,939.56066,1759.02646,1113.10329
209,2496.76571,319.01522,959.70426,1748.53163,1115.04708
210,2449.69626,277.32058,970.19909,1719.57782,1116.14942
211,2286.49237,255.80009,1027.10403,1664.23447,1119.53062
212,2165.8272,260.56416,999.1529,1691.62669,1117.7396
213,2205.70983,209.29,1054.49625,1637.65225,1120.8163
214,2222.43133,191.7188,1097.09288,1608.25362,1124.58576
215,2167.55447,193.79092,1081.07847,1621.63784,1122.68677
216,2044.62335,147.63795,1110.4771,1597.98705,1126.13573
217,2036.9781,137.88754,1120.74367,1573.1956,1127.66061
218,1989.84107,123.93599,1145.53512,1560.48273,1128.80001
219,1968.50404,83.02023,1158.24799,1543.02056,1130.66111
220,1843.87747,77.61998,1175.71016,1527.81466,1132.37367
221,1826.54941,60.323,1190.91606,1507.47336,1133.79488
222,1518.14092,18.93597,1211.25736,1482.21804,1135.44911
223,1292.28794,16.86782,1236.51268,1465.44079,1137.13137
