Stages,Average,5thPercentile,95thPercentile
Start_Point,0,0,0
Queue_for_CSI_visit,1402.475444,0,3431.732385
CSI_visit,1604.593293,68.283302,4467.464665
Queue_for_Courier,1731.778371,70.922652,5474.629775
Courier,2014.302052,134.130952,6542.201275
Queue_for_Sample_prep,2056.35727,134.130952,6645.304645
Sample_prep,2073.845232,149.3903365,6665.07618
Queue_for_DNA_sequencer,2411.348776,149.3903365,7903.058225
DNA_Sequencer,2531.348776,269.3903365,8023.058225
Queue_for_validation,3502.651732,273.5752365,11928.15522
Validation,3565.469186,284.0781765,11947.96696
Queue_for_ID_database,3565.469186,284.0781765,11947.96696
