Scenario,QueueTime
Current,5886.16115
Current,5858.07866
Current,5717.11559
Current,5727.50736
Current,5712.24291
Current,5575.34172
Current,5573.86041
Current,5566.28699
Current,5322.34597
Current,5331.37801
Current,5332.91066
Current,5264.85363
Current,5257.03649
Current,5132.28997
Current,5071.68518
Current,5013.21037
Current,4955.8121
Current,4929.41159
Current,4800.29433
Current,4256.30669
Current,4129.64758
Current,5180.12682
Current,5189.8732
Current,5130.45047
Current,5088.96696
Current,5083.95348
Current,5048.66556
Current,5050.8482
Current,4938.13199
Current,4934.98811
Current,4910.39585
Current,4903.57085
Current,4893.29582
Current,4869.05329
Current,4687.59742
Current,4539.45175
Current,4463.85002
Current,4161.0206
Current,4079.77634
Current,4041.02517
Current,3961.27366
Current,3913.39444
Current,4798.72657
Current,4702.65742
Current,4697.58863
Current,4698.14538
Current,4723.28034
Current,4643.33877
Current,4652.60269
Current,4675.06244
Current,4603.29944
Current,4472.67766
Current,4302.95201
Current,4226.56789
Current,4160.89812
Current,4188.9863
Current,4009.15147
Current,4010.96271
Current,3912.35217
Current,3662.71268
Current,3624.50452
Current,3648.46474
Current,4632.37219
Current,4468.85399
Current,4489.28273
Current,4471.23587
Current,4467.67596
Current,4264.35767
Current,4248.94058
Current,4234.4277
Current,4266.06596
Current,4217.58535
Current,4182.04202
Current,4029.19918
Current,3840.21915
Current,3789.67244
Current,3730.80388
Current,3703.969
Current,3624.7248
Current,3643.38542
Current,3558.34998
Current,3581.67139
Current,4390.35899
Current,4305.95429
Current,4315.82547
Current,3905.59635
Current,3901.42521
Current,3669.83023
Current,3641.50966
Current,3641.35246
Current,3625.96464
Current,3516.19646
Current,3475.52814
Current,3504.25072
Current,3384.13048
Current,3162.0721
Current,3117.06956
Current,3079.61912
Current,2914.05355
Current,2875.31433
Current,2625.48096
Current,2554.71755
Current,2568.51891
Current,6455.53825
Current,6424.40045
Current,6438.79422
Current,6413.65134
Current,6312.36859
Current,6312.82412
Current,6258.39866
Current,6153.16246
Current,5983.19405
Current,5876.95237
Current,5872.91196
Current,5888.34322
Current,5804.1012
Current,5793.79225
Current,5609.91042
Current,5544.76838
Current,5504.7344
Current,5439.09453
Current,5456.98885
Current,5390.91084
Current,5055.61595
Current,5907.86161
Current,5893.72283
Current,5830.2042
Current,5805.47192
Current,5717.03429
Current,5677.25959
Current,5582.11975
Current,5513.55729
Current,5435.42649
Current,5353.56994
Current,5358.71261
Current,5297.63196
Current,5243.07003
Current,5264.35619
Current,5167.93241
Current,5100.67001
Current,5128.09406
Current,4957.57615
Current,4941.84267
Current,4913.86659
Current,5727.02238
Current,5685.54463
Current,5494.37159
Current,5485.17849
Current,5478.24505
Current,5516.06438
Current,5468.79284
Current,5387.68328
Current,5416.13945
Current,5375.97778
Current,4983.00665
Current,4940.5011
Current,4879.09909
Current,4888.11927
Current,4910.70855
Current,4710.7428
Current,4557.89791
Current,4095.67641
Current,4096.33494
Current,4088.17003
Current,3770.32296
Current,4694.76867
Current,4593.03984
Current,4622.54216
Current,4480.72529
Current,4460.06358
Current,4482.37462
Current,4076.96766
Current,4062.22007
Current,3817.14776
Current,3775.53944
Current,3741.50459
Current,3648.74514
Current,3626.35613
Current,3482.01009
Current,3431.08046
Current,3059.09195
Current,3029.86251
Current,3043.37853
Current,3007.96625
Current,2942.05803
Current,3801.53617
Current,3797.50975
Current,3656.36198
Current,3514.19689
Current,3490.5817
Current,3503.05005
Current,3537.89822
Current,3518.6392
Current,3459.04984
Current,3208.68042
Current,3134.14644
Current,3153.06258
Current,2907.64013
Current,2859.30303
