Stages,Average,5thPercentile,95thPercentile
Start_Point,0,0,0
Queue_for_CSI_visit,102.9648466,0,343.17294
CSI_visit,177.9734819,68.1857965,425.05705
Queue_for_Courier,208.9794193,68.1857965,511.200661
Courier,298.4769156,131.0012965,628.003811
Queue_for_Sample_prep,2651.685664,412.891646,5192.506095
Sample_prep,2733.208555,423.9323535,5222.377616
Queue_for_DNA_sequencer,3120.271926,423.9323535,6477.640863
DNA_Sequencer,3240.271926,543.9323535,6597.640863
Queue_for_validation,3914.561404,543.9323535,10525.92297
Validation,3997.398887,559.1881615,10545.88483
Queue_for_ID_database,3997.398887,559.1881615,10545.88483
